ASN,Name
13345,MASSIVE-NETWORKS-2
13354,ZC38-AS1
13357,
13414,TWITTER
13416,
13438,VIVIO-TECHNOLOGIES
13645,
13647,
13649,ASN-FLEXENTIAL
13739,DATACENTER-IP
13767,
13768,COGECO-PEER1
13790,
13791,INTERNAP-BLK3
13820,VACARES
13830,
13845,ESTRUXTURE-AB-13845
13884,ASN-THEPLANET
13886,
13909,TECHIEMEDIA
13911,
13926,NETPROTECT-PHX
13951,
13955,
14010,JACKHENRY
14026,"Nucleo de Inf. e Coord. do Ponto BR - NIC."
14061,
14116,INFB-AS
14120,ITHS-NY4-BLK-001
14127,
14144,
14160,PREMIUMTELECOM
14176,WEBHOSTCANADA
14244,
14280,NETNATION
14313,
14330,
14340,
14361,HOPONE-GLOBAL
14384,HOSTDESIGNS
14397,
14415,HOSTCOLLECTIVE
14441,
14442,MEDIA-HOSTS
14519,
14537,
14567,
14576,HOSTING-SOLUTIONS
14586,
14618,AMAZON-AES
14708,"WebHost Chile S.A."
14713,HBL-35-14713
14743,INTERNAP-BLOCK-4
14744,
14901,TAOSNET-NEWMEX
14902,AS-ACTIV
14935,
14986,ULTRAHOST
14987,RETHEMHOSTING
14992,
15003,
15083,INFOLINK-MIA-
15085,IMMEDION
15144,XYMMETRIX-XYMMETRIX-LLC
15149,EZZI-101-BGP
15169,GOOGLE
15189,
15216,HOSTWAY
15244,
15317,
15391,
15395,"RACKSPACE-LON - Rackspace Ltd."
15418,"IONOS-ANYCAST - Fasthosts Internet Limited"
15456,"INTERNETX-AS - InterNetX GmbH"
15497,
15510,
15533,"SASEUROPE - Redcentric Solutions Ltd"
15541,"CETI-AS - Marcin Bochenek trading as CETI s.c."
15544,
15598,
15626,"GF-UA - GREEN FLOID LLC"
15657,"SPEEDBONE-AS - Speedbone Internet &amp; Connectivity GmbH"
15685,"CASABLANCA-AS - CASABLANCA INT a.s."
15694,
15699,
15703,"TRUESERVER-AS - TrueFullstaq B.V."
15734,
15817,
15826,
15830,"EQUINIX - Equinix (EMEA) Acquisition Enterprises B.V."
15891,
15919,"INTERHOST - Servicios de Hosting en Internet S.A."
15922,
15954,
15967,
16125,"CHERRYSERVERS1-AS - UAB Cherry Servers"
16262,"DATACHEAP-LLC-AS - Datacheap LLC"
16265,"LEASEWEB-NETWORK - LeaseWeb Network B.V."
16273,
16276,
16284,Inq-Digital-Nigeria-AS
16347,
16371,
16397,"EQUINIX BRASIL"
16406,
16410,
16482,
16509,AMAZON-02
16535,
16552,
16556,TOTALCHOICE-HOSTING
16557,COLOSOLUTIONS
16578,DATANOC
16584,
16625,
16626,
16628,DEDICATED-FIBER-COMMUNICATIONS
16645,EPIQSYSTEMS
16652,
16858,AS-TIERP-16858
16862,
16912,
16973,
17019,
17048,OBJX
17090,DATABASEBYDESIGNLLC
17113,
17139,COLORADOCOLO
17156,ZIXI
17195,TAYLOR-CORPORATION
17216,
17223,DATABANK-LATISYS
17378,
17439,
17447,
