ASN,Name
8739,"ICDSOFT - ICDSoft Ltd."
8820,"TAL-DE - TAL.DE Klaus Internet Service GmbH"
8854,"HOST-LAN-UA-AS - PE Bakhilov Vitaliy Viktorovich"
8875,"SINMA-ASN - sinma GmbH"
8893,"ARTFILES-AS - Artfiles New Media GmbH"
8928,"INTEROUTE - Interoute Communications Limited"
8943,"JUMP - Jump Networks Ltd"
8972,"GD-EMEA-DC-SXB1 - Host Europe GmbH"
9009,"M247 - M247 Ltd"
9053,"VSHOSTING-CDN - VSHosting s.r.o."
9115,"INFB-AS9115 - Internet Names for Business"
9123,"TIMEWEB-AS - TimeWeb Ltd."
9166,"CEGEKA-HASSELT - Cegeka NV"
9211,"WORK-AS - Nawork Internet Informationssysteme GmbH"
9244,"ASN-DYXNET-TW-AP  # AS-DYXNET-TW-AP CONVERTED TO ASN-DYXNET-TW-AP FOR RPSL COMPLIANCE - Diyixian.com (TW) Limited"
9268,"OVERTHEWIRE-AS-AP - Over The Wire Pty Ltd"
9286,"KINXIDC-AS-KR - KINX"
9287,"TIDCC-AS-AP - True Internet Data Center Company Limited"
9290,"GOHOSTING-AS-AP - GoHosting"
9304,"HUTCHISON-AS-AP - HGC Global Communications Limited"
9312,"XTOM - xTom"
9335,"CAT-CLOUD-AP - CAT Telecom Public Company Limited"
9370,"SAKURA-B - SAKURA Internet Inc."
9371,"SAKURA-C - SAKURA Internet Inc."
9412,"HCDS-AS-AP - 5G NETWORK OPERATIONS PTY LTD"
9451,"BEN-AS-AP - Bhairab Express Net"
9520,"DAOHENG-AS-AP - DaoHeng Bank"
9530,"SHINSEGAE-AS - SHINSEGAE I C Co., Ltd."
9597,"CPI-NET - KDDI Web Communications Inc."
9667,"HOSTWORKS-AS-AP - 5G NETWORK OPERATIONS PTY LTD"
9714,"INTERNETPRIMUS-AS-AP - Primus Telecommunications"
9823,"NCS-PEARSON-AS-AP - Education Web Hosting"
9858,"KRNICNET - Korea Internet Security Agency"
9925,"HKTHOST-AP - Powerbase DataCenter Services (HK) Ltd."
9935,"AGNSCUS-HK - AGNS Customer AS"
9952,"HOSTWAY-AS-KR - Hostway IDC"
9957,"KINX-AS - KINX"
10004,"AS-PHOENIX-J - JIN Office Service Inc."
10015,"CWJ-NET - Cyber Wave Japan Co., Ltd."
10016,"MINC - Minaminihon Information Processing Center Co Ltd"
10097,"FLOWCOM - Flow Communications 2/541 Kent St Sydney NSW 2000"
10105,"OMNI - OMNIconnect Pty Ltd"
10112,"VALUEHOSTED-AS - THE VALUE HOSTED (PVT.) LIMITED"
10200,"NETSMART-AP - Web hosting provider and ISP connectivity."
10207,"INTERVOLVE-ADELAIDE-AS-AP - Intervolve Pty Ltd"
10297,"ENET-2 - eNET Inc."
10333,"DIGITALINSIGHT - Digital Insight Corporation"
10439,"CARINET - CariNet, Inc."
10464,"TEAMTECH - Team Technologies, LLC"
10474,"OPTINET - Optinet, a division of Internet Solutions"
10480,"RA-N002 - HIVELOCITY, Inc."
10489,"ARMOUR-AS - Armour Cloud, LLC"
10532,"RACKSPACE - Rackspace Hosting"
10634,"INET-COMPUTERS-INC - iNET Computers, Inc."
10732,"TIERRANET - TierraNet Inc."
10747,"EPIC-HOSTING - Epic Hosting, LLC"
10843,"AITNET - Advanced Internet Technologies"
10879,"UHC - Unitedhealthcare"
10913,"INTERNAP-BLK - Internap Corporation"
10929,"NETELLIGENT - eStruxture Data Centers Inc."
11042,"NTHL - NETWORK TRANSIT HOLDINGS LLC"
11051,"CYBERVERSE - Evocative, Inc."
11180,"CX-DATA-PUBLIC-AS - CX-DATA INC."
11230,"MHSFL - Managed Hosting Services, LLC"
11235,"ITRONHOSTINGAS - Itron-Hosting"
11274,"ADHOST - TierPoint, LLC"
11282,"SERVERYOU - SERVERYOU INC"
11320,"LIGHTEDGE-AS-02 - LightEdge Solutions"
11357,"INFO-IQTINC - InfoQuest Technologies, Inc."
11403,"NYINTERNET - NYI"
11555,"SHCS - Alpha Hosting, LLC"
11572,"SS-ATL - PhoenixNAP LLC"
11588,"HIGHWINDS - Highwinds Network Group, Inc."
11691,"EVOCATIVE - Evocative, Inc."
11734,"CONNECTRIA-ASN-1 - Connectria"
11831,"ESECUREDATA - eSecureData"
11853,"ASN-INTERNAP-BLK - Internap Corporation"
11854,ASN-INTERNAP-BLK
11878,"TZULO - tzulo, inc."
11973,"SECUREINDEPENDENCE - Secure Independence, Inc"
11989,"WEBINT - Jumpline Inc"
11994,"CZIO-ASN - Cruzio"
12001,"AS-PNN-NET - Point North Networks, Inc."
12008,"ULTRADNS - NeuStar, Inc."
12129,"123NET - 123.Net, Inc."
12178,"INTERNAP-2BLK - Internap Corporation"
12179,"INTERNAP-2BLK - Internap Corporation"
12180,"INTERNAP-2BLK - Internap Corporation"
12182,INTERNAP-2BLK
12188,"Q9-AS - Q9 Networks Inc."
12189,"AS12189 - PhoenixNAP LLC"
12200,"RACKSPACE - Rackspace Hosting"
12212,"RC-01-AS - Ravand Cybertech Inc."
12222,"AKAMAI - Akamai Technologies, Inc."
12266,"SRN-HOSTING - StoreRunner, Inc."
12306,"PLUSLINE - Plus.line AG"
12363,"DADA-AS - REGISTER S.P.A."
12395,"PANDEMONIUM-AS - ADISTA SAS"
12406,"BN-AS - Business Network Ltd"
12408,"BIKENT-AS - LLC Bi-Kent"
12459,"UNITED - UNITED INTERNET LTD."
12472,"WAYCOM-AS2 - Waycom International (SASU)"
12488,"KRYSTAL - Krystal Hosting Ltd"
12536,"IX Reach Ltd"
12574,"ROUTING - Hosting.de GmbH"
12586,"ASGHOSTNET - GHOSTnet GmbH"
12590,"DOTSPOT - THE DOT SPOT NET SARL"
